Time,Registration,Payment,Get Triage Number,Measure Vital Signs,General Medicine Examination,Eye Examination,ENT Examination,Dental Examination,Gynecological Examination,Breast Examination,Blood Test,Urine Test,In-depth Eye Examination,ENT Endoscopy,Electrocardiogram (ECG),Post-bronchodilator Spirometry,General Ultrasound,Cardiac Ultrasound,Chest X-ray,DEXA Bone Density Scan,Conclusion
230.0,1,2,0,2,3,1,1,1,2,1,3,15,0,0,0,0,11,29,2,0,0
231.0,0,2,0,1,4,2,2,1,1,1,2,15,0,0,0,0,12,29,2,0,0
232.0,2,1,0,2,3,1,3,1,1,2,2,14,0,0,0,0,12,30,2,0,0
233.0,1,1,0,2,3,2,3,2,1,1,1,14,0,0,0,0,13,30,2,0,0
234.0,0,2,0,1,3,2,3,2,1,2,0,15,0,0,0,0,14,28,1,0,2
235.0,2,1,0,2,2,3,2,3,1,2,0,15,0,0,0,0,13,29,1,0,2
236.0,2,0,0,2,2,3,3,3,0,2,1,15,0,0,0,0,13,29,1,0,2
237.0,0,2,0,1,2,3,4,2,2,1,1,16,0,0,0,0,11,30,1,0,0
238.0,1,2,0,0,3,2,3,2,2,2,1,16,0,0,0,0,12,30,1,0,0
239.0,1,0,0,2,2,3,2,4,2,1,1,16,0,0,0,0,12,30,1,0,0
240.0,2,1,0,2,2,3,3,3,2,1,1,15,0,0,0,0,12,31,1,0,0
241.0,3,1,0,1,1,3,3,3,2,3,1,15,0,0,0,0,12,30,1,0,1
242.0,1,2,0,1,2,3,2,3,3,3,1,15,0,0,0,0,11,30,1,0,2
243.0,0,3,0,1,2,2,4,2,3,3,1,16,0,0,0,0,10,30,1,0,2
244.0,0,1,0,2,2,3,3,3,3,3,1,16,0,0,0,0,11,30,0,0,1
245.0,1,0,0,2,2,3,4,3,1,3,1,16,0,0,0,0,11,31,1,0,0
246.0,1,0,0,1,3,3,4,2,1,4,1,16,0,0,0,0,11,31,1,0,0
247.0,1,1,0,1,2,2,4,3,2,3,2,16,0,0,0,0,11,31,1,0,0
248.0,1,1,0,0,2,3,3,3,2,3,3,16,0,0,0,0,11,31,1,0,0
249.0,1,1,0,1,1,3,4,3,2,3,3,16,0,0,0,0,11,30,1,0,1
250.0,1,1,0,1,1,4,3,3,2,2,3,16,0,0,0,0,10,31,2,0,1
251.0,1,0,0,1,1,4,2,4,2,2,5,17,0,0,0,0,9,30,1,0,2
252.0,2,1,0,1,1,3,3,3,1,1,5,16,0,0,0,0,9,31,4,0,1
253.0,2,1,0,0,1,3,3,3,1,2,4,17,0,0,0,0,10,31,3,0,0
254.0,0,2,0,1,1,2,2,3,2,2,5,18,0,0,0,0,9,31,3,0,0
255.0,0,2,0,1,1,2,2,3,2,2,5,17,0,0,0,0,9,32,3,0,0
256.0,0,0,0,2,1,2,2,2,2,2,5,17,0,0,0,0,10,32,4,0,0
257.0,0,0,0,2,1,2,2,2,2,2,5,16,0,0,0,0,10,31,4,0,2
258.0,0,0,0,0,2,2,2,2,2,2,5,18,0,0,0,0,10,31,3,0,2
259.0,0,0,0,0,2,2,2,1,2,2,5,18,0,0,0,0,10,31,4,0,2
260.0,0,0,0,0,1,2,1,1,2,3,6,18,0,0,0,0,10,32,3,0,0
261.0,0,0,0,0,0,2,2,1,3,2,3,18,0,0,0,0,12,32,4,0,0
262.0,1,0,0,0,0,2,3,1,2,2,4,18,0,0,0,0,11,33,3,0,0
263.0,1,0,0,0,0,2,2,1,2,2,5,18,0,0,0,0,11,33,3,0,0
264.0,0,1,0,0,0,1,2,3,1,2,3,17,0,0,0,0,12,33,4,0,1
265.0,2,1,0,0,0,2,0,3,1,2,3,18,0,0,0,0,12,33,4,0,1
266.0,2,0,0,1,0,1,2,2,1,2,3,19,0,0,0,0,12,32,3,0,2
267.0,1,2,0,1,0,1,3,1,2,1,2,18,0,0,0,0,13,33,3,0,1
268.0,1,1,0,1,1,0,3,2,2,1,2,18,0,0,0,0,13,34,2,0,0
269.0,0,1,0,2,1,0,1,2,2,1,3,18,0,0,0,0,14,34,2,0,0
270.0,0,1,0,1,2,0,1,2,1,1,3,18,0,0,0,0,13,35,3,0,0
271.0,0,0,0,1,2,1,1,1,2,1,3,18,0,0,0,0,14,35,2,0,0
272.0,0,0,0,1,2,1,0,0,2,2,3,18,0,0,0,0,15,35,2,0,0
273.0,1,0,0,0,2,1,1,0,2,2,3,17,0,0,0,0,15,35,2,0,1
274.0,2,0,0,0,1,1,1,1,2,1,1,18,0,0,0,0,15,34,4,0,2
275.0,1,1,0,0,1,1,1,1,2,1,2,20,0,0,0,0,13,34,3,0,2
276.0,0,2,0,0,0,2,1,1,1,1,3,19,0,0,0,0,13,35,3,0,1
277.0,4,1,0,1,0,1,1,1,2,1,3,19,0,0,0,0,14,35,2,0,0
278.0,4,0,0,2,0,1,1,1,2,1,3,19,0,0,0,0,14,36,1,0,0
279.0,1,4,0,2,0,2,1,0,1,1,2,19,0,0,0,0,14,36,3,0,0
280.0,1,4,0,0,2,1,0,1,1,2,1,18,0,0,0,0,16,37,2,0,0
281.0,0,3,0,2,2,1,0,1,1,2,0,18,0,0,0,0,16,36,3,0,1
282.0,0,2,0,3,2,0,0,1,1,2,2,19,0,0,0,0,15,35,2,0,2
283.0,0,1,0,2,2,1,2,1,0,1,2,19,0,0,0,0,15,36,2,0,2
